DateTime,Outdoor global irradiation(W m⁻²),Outdoor air temperature(°C),Outdoor vapor concentration(kg m⁻³),Outdoor CO2 concentration(kg{CO2} m⁻³{air}),Outdoor wind speed(m s⁻¹),Sky temperature(°C),Temperature of external soil layer (°C),Daily light sum (MJ m⁻² day⁻¹),Elevation (m),Outdoor vapor pressure (Pa)
726185.4166666666,685,15.0,0.006512999254585531,0.0007631311406480468,2.6,3.4769580345465556,5.8808296701890725,15.2676,35.0,8.317482213770919e-07
726185.4583333334,773,17.0,0.006913902422898672,0.0007578708880845587,3.1,5.536869134233484,5.883109542769541,15.2676,35.0,9.958759731950861e-07
726185.5,440,18.0,0.006420238100470824,0.0007552678625372994,4.6,6.3481932020228555,5.885393016267613,15.2676,35.0,9.81415649208029e-07
726185.5416666666,405,18.0,0.006420238100470824,0.0007552678625372994,3.6,6.3481932020228555,5.8876800895085335,15.2676,35.0,9.81415649208029e-07
726185.5833333334,363,18.0,0.0068788265362187415,0.0007552678625372994,3.6,6.549924255894041,5.8899707613156975,15.2676,35.0,1.0515167670086028e-06
726185.625,329,16.0,0.00651169051702552,0.0007604919183044603,6.7,4.306433483985984,5.892265030510642,15.2676,35.0,8.833773622816686e-07
726185.6666666666,234,15.0,0.005619058180426732,0.0007631311406480468,4.6,2.8499189638018265,5.894562895913062,15.2676,35.0,7.175867007959223e-07
726185.7083333334,96,15.0,0.007023822725533416,0.0007631311406480468,2.1,3.6850265968540725,5.896864356340794,15.2676,35.0,8.969833759949031e-07
726185.75,13,12.0,0.005735627438296194,0.00077115987437396,3.1,0.08211931175037535,5.899169410609829,15.2676,35.0,6.092115205728919e-07
726185.7916666666,0,10.0,0.0046848899979726735,0.0007766068803734228,4.1,-2.549636304907949,5.901478057534314,15.2676,35.0,4.3896388586208786e-07
726185.8333333334,0,8.0,0.004289064406491379,0.0007821313824568191,3.6,-4.802957837175882,5.90379029592654,15.2676,35.0,3.53770643904447e-07
726185.875,0,5.0,0.004410185802255062,0.0007905670975291559,2.6,-7.584131510631607,5.906106124596953,15.2676,35.0,2.992267509294173e-07
726185.9166666666,0,7.0,0.004330250068526359,0.0007849232131991243,3.1,-5.720397049500946,5.908425542354151,15.2676,35.0,3.348404581423666e-07
726185.9583333334,0,5.0,0.004003091728200748,0.0007905670975291559,1.5,-7.819875967085466,5.910748548004885,15.2676,35.0,2.716058200743941e-07
726186.0,0,5.0,0.0037316956788312062,0.0007905670975291559,0.0,-8.056250476995217,5.913075140354067,22.4784,35.0,2.531918661710454e-07
726186.0416666666,0,1.0,0.00409894471911452,0.0008021019083630665,1.5,-11.68025186283478,5.915405318204757,22.4784,35.0,2.1267528873869384e-07
726186.0833333334,0,1.0,0.003735747085775259,0.0008021019083630665,0.5,-11.927271267638332,5.91773908035817,22.4784,35.0,1.9383064290108806e-07
726186.125,0,5.0,0.0037316956788312062,0.0007905670975291559,2.6,-8.056250476995217,5.92007642561368,22.4784,35.0,2.531918661710454e-07
726186.1666666666,0,4.0,0.0037466442146113052,0.0007934195857035349,5.7,-9.008128500723217,5.922417352768817,22.4784,35.0,2.379210656081418e-07
726186.2083333334,0,4.0,0.0037466442146113052,0.0007934195857035349,2.6,-9.008128500723217,5.924761860619268,22.4784,35.0,2.379210656081418e-07
726186.25,4,3.0,0.002673032502322504,0.0007962927328543715,3.1,-10.943364102196256,5.927109947958873,22.4784,35.0,1.5878006129938904e-07
726186.2916666666,96,4.0,0.0024130928839869426,0.0007934195857035349,4.6,-10.212637178261105,5.929461613579645,22.4784,35.0,1.5323729649337949e-07
726186.3333333334,310,6.0,0.0021735782971788542,0.0007877350463110682,5.1,-8.530905468618926,5.931816856271738,22.4784,35.0,1.5748142046556424e-07
726186.375,527,7.0,0.0018558214579398678,0.0007849232131991243,6.2,-8.056250476995217,5.9341756748234795,22.4784,35.0,1.435030534895857e-07
726186.4166666666,707,9.0,0.0016707572554621746,0.0007793593414061128,5.7,-6.414724680562358,5.936538068021349,22.4784,35.0,1.4691735824628938e-07
